Item Number,Description,Vendor,Category,Buyer,Planner,Item Type,Serialized (Y/N),Price,Unit of Measure,Manufacturers Part Number (MPN),Vendor,Vendor Part Number,Lead Time (Calendar Days),Handling Time (Logistics LT),Safety Stock,Minimum Order Quantity,Quantity per Carton,Cartons per Pallet,Carton Length,Carton Width,Carton Height,Carton Weight,Carton Dimensional Weight,ECCN,HTS,Costing Method,FA Type,Asset Account,GPU (Y/N),GPU Type,CPU Type,GPU Chip Count,GPU Core Count,RAM (Bytes),Local SSD (Y/N),SSD (Bytes),Local Disk (Y/N),Disk (Bytes),Network Interface Card (NIC) Count,Max Power Consumption (Watts)
String,String,String,List,,,List,List,Currency,List,String,List,String,Number,,Number,Number,,,,,,,,,,List,List,List,Boolean,String,String,Number,Number,Number,Boolean,Number,Boolean,Number,Number,Number
Mandatory,,Mandatory,Mandatory,,,,Mandatory,,Mandatory,Mandatory,,,Mandatory,,,,,,,,,,,,,Mandatory,,Mandatory,,,,,,,,,,,,
10M-2FSM-LCLC,OS2 Duplex LC-LC 10M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$6.50,Eaches,10M-2FSM-LCLC,Proficium,,7,,,,150,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
10W1-C1314-06,14 AWG. Black Color C14 / C13 Power Cord 6ft,,Cabling,Jon,Swapnil Kale,Inventory,No,$9.50,Eaches,10W1-C1314-06,,10W1-C1314-06,,,,,,,,,,,,EAR99,8544.49.1000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
10W1-C1415-06,14 AWG. Black Color C15 / C14 Power Cord 6ft,,Cabling,Jon,Swapnil Kale,Inventory,No,$14.00,Eaches,10W1-C1415-06,,10W1-C1415-06,,,,,,,,,,,,EAR99,8544.49.1000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
10W1-C1419-06,14 AWG Red Color C14 / C19 Power Cord 6ft,,Cabling,Jon,Swapnil Kale,Inventory,No,$16.99,Eaches,10W1-C1419-06,,10W1-C1419-06,,,,,,,,,,,,EAR99,8544.49.1000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
11M-12FM3-PFF-APC-B-K8,OM3 12F MTP F-F APC Type B 11M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$469.83,Eaches,11M-12FM3-PFF-APC-B-K8,Proficium,,14,,,,15,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
11M-12FM4-OFF-B,OM4 12F MPO F-F Type B 11M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$115.73,Eaches,11M-12FM4-OFF-B,Proficium,,14,,,,150,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
11M-2FSM-LCLC,OS2 Duplex LC-LC 11M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$6.65,Eaches,11M-2FSM-LCLC,Proficium,,7,,,,130,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
10M-12FSM-OFF-B,OS2 12F MPO F-F Type B 10M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$84.38,Eaches,10M-12FSM-OFF-B,Proficium,,14,,,,150,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
11M-12FSM-OFF-B,OS2 12F MPO F-F Type B 11M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$86.50,Eaches,11M-12FSM-OFF-B,Proficium,,14,,,,150,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
12M-12FSM-OFF-B,OS2 12F MPO F-F Type B 12M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$88.62,Eaches,12M-12FSM-OFF-B,Proficium,,14,,,,150,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
120M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 120M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,102.76",Eaches,120M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
12100-712,Chatsworth RUNWY RAD DROP 12IN BLAC,Chatsworth,Consumables and Misc.,Dan,Dan Money,Inventory,No,,Eaches,12100-712,Graybar,96048775,,,,,,,,,,,,,,Average,Network Communication,144502,,,,,,,,,,,,
12100-718,Chatsworth RUNWY RAD DROP 18 BLACK,Chatsworth,Consumables and Misc.,Dan,Dan Money,Inventory,No,,Eaches,12100-718,Graybar,96048778,,,,,,,,,,,,,,Average,Network Communication,144502,,,,,,,,,,,,
125M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 125M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,133.42",Eaches,125M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
125M-2FSM-LCLC,OS2 Duplex LC-LC 125M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$51.22,Eaches,125M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
12M-12FM3-PFF-APC-B-K8,OM3 12F MTP F-F APC Type B 12M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$491.35,Eaches,12M-12FM3-PFF-APC-B-K8,Proficium,,14,,,,15,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
120M-12FM3-PFF-APC-B-K8,OM3 12F MTP F-F APC Type B 120M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,088.00",Eaches,120M-12FM3-PFF-APC-B-K8,Proficium,,14,,,,15,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
130M-12FM3-PFF-APC-B-K8,OM3 12F MTP F-F APC Type B 130M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,178.71",Eaches,130M-12FM3-PFF-APC-B-K8,Proficium,,14,,,,15,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
12M-12FM4-OFF-B,OM4 12F MPO F-F Type B 12M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$129.00,Eaches,12M-12FM4-OFF-B,Proficium,,14,,,,125,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
12M-12FM4-PFF-APC-B-K8,OM4 12F MTP F-F APC Type B 12M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$491.35,Eaches,OM4 12F MTP F-F APC Type B 12M,Proficium,,14,,,,6,6,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
12M-2FSM-LCLC,OS2 Duplex LC-LC 12M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$6.75,Eaches,12M-2FSM-LCLC,Proficium,,7,,,,130,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
12M-12FSM-PFF-B,OS2 12F MTP F-F Type B 12M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$73.26,Eaches,12M-12FSM-PFF-B,Proficium,,14,,,,100,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
130M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 130M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,058.15",Eaches,130M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
135M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 135M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,098.84",Eaches,135M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
13M-2FSM-LCLC,OS2 Duplex LC-LC 13M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$6.85,Eaches,13M-2FSM-LCLC,Proficium,,7,,,,130,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
14304-712,Chatsworth 12 INCH RADIUS DROP,Chatsworth,Consumables and Misc.,Dan,Dan Money,Inventory,No,,Eaches,14304-712,Graybar,25816957,,,,,,,,,,,,,,Average,Network Communication,144502,,,,,,,,,,,,
14304-718,Chatsworth 18 INCH RADIUS DROP,Chatsworth,Consumables and Misc.,Dan,Dan Money,Inventory,No,,Eaches,14304-718,Graybar,25816958,,,,,,,,,,,,,,Average,Network Communication,144502,,,,,,,,,,,,
14305-700,Chatsworth RADIUS DROP STRINGER LG BK,Chatsworth,Consumables and Misc.,Dan,Dan Money,Inventory,No,,Eaches,14305-700,Graybar,25843207,,,,,,,,,,,,,,Average,Network Communication,144502,,,,,,,,,,,,
14305-701,Chatsworth RADIUS DROP STRINGER SM BK,Chatsworth,Consumables and Misc.,Dan,Dan Money,Inventory,No,,Eaches,14305-701,Graybar,25843206,,,,,,,,,,,,,,Average,Network Communication,144502,,,,,,,,,,,,
105M-12FSM-OFF-B,OS2 12F MPO F-F Type B 105M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$230.41,Eaches,105M-12FSM-OFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
150M-12FSM-OFF-B,OS2 12F MPO F-F Type B 150M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$295.13,Eaches,150M-12FSM-OFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
150M-12FSM-PFF-B,OS2 12F MTP F-F Type B 150M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$295.13,Eaches,150M-12FSM-PFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
185M-12FSM-OFF-B,OS2 12F MPO F-F Type B 185M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$358.09,Eaches,185M-12FSM-OFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
150M-2FSM-LCLC,OS2 Duplex LC-LC 150M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$53.75,Eaches,150M-2FSM-LCLC,Proficium,,14,,,,16,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
155M-2FSM-LCLC,OS2 Duplex LC-LC 155M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$53.75,Eaches,155M-2FSM-LCLC,Proficium,,14,,,,16,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
15M-12FM3-PFF-APC-B-K8,OM3 12F MTP F-F APC Type B 15M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$452.09,Eaches,15M-12FM3-PFF-APC-B-K8,Proficium,,14,,,,8,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
15M-12FM4-OFF-B,OM4 12F MPO F-F Type B 15M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$140.06,Eaches,15M-12FM4-OFF-B,Proficium,,14,,,,100,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
15M-12FM4-PFF-APC-B-K8,OM4 12F MTP F-F APC Type B 15M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$555.90,Eaches,OM4 12F MTP F-F APC Type B 15M,Proficium,,14,,,,6,6,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
15M-12FSM-OFF-B,OS2 12F MPO F-F Type B 15M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$91.57,Eaches,15M-12FSM-OFF-B,Proficium,,14,,,,100,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
15M-12FSM-PFF-B,OS2 12F MTP F-F Type B 15M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$91.57,Eaches,15M-12FSM-PFF-B,Proficium,,14,,,,100,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
15M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 15M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$452.09,Eaches,15M-12FSM-PFF-B-K8,Proficium,,14,,,,8,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
15M-2FSM-LCLC,OS2 Duplex LC-LC 15M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$8.10,Eaches,15M-2FSM-LCLC,Proficium,,7,,,,120,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
180M-2FSM-LCLC,OS2 Duplex LC-LC 180M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$39.42,Eaches,180M-2FSM-LCLC,Proficium,,14,,,,4,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
190M-12FSM-PFF-B,OS2 12F MTP F-F Type B 190M ,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$373.83,Eaches,190M-12FSM-PFF-B,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
190M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 190M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,555.84",Eaches,190M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
190M-2FSM-LCLC,OS2 Duplex LC-LC 190M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$41.61,Eaches,190M-2FSM-LCLC,Proficium,,14,,,,8,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
1M-12FM4-OFF-B,OM4 12F MPO F-F Type B 1M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$43.00,Eaches,1M-12FM4-OFF-B,Proficium,,14,,,,500,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
1M-12FSM-OFF-B,OS2 12F MPO F-F Type B 1M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$71.44,Eaches,1M-12FSM-OFF-B,Proficium,,14,,,,500,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
1M-12FSM-PFF-B,OS2 12F MTP F-F Type B 1M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$71.44,Eaches,1M-12FSM-PFF-B,Proficium,,14,,,,500,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
1M-2FSM-LCLC,OS2 Duplex LC-LC 1M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$4.30,Eaches,1M-2FSM-LCLC,Proficium,,7,,,,500,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
1U-1N-GEN5-1NIC,"Single Server 1U Chassis inc (Single NIC, Dual Port 200Gb's QSFP112 or Dual Port HDR200 QSFP112)",Avnet Inc.,Storage Server / Chassis,Swapnil Kale,Swapnil Kale,Inventory,Yes,"$10,000.00",Eaches,1U-1N-GEN5-1NIC,Avnet Inc.,1U-1N-GEN5-1NIC,,,,1,,,,,,,,5A992C,8471.50.0150,Specific,Configured Storage Server,144502,,,,,,,,,,,,
225M-12FSM-OFF-B,OS2 12F MPO F-F Type B 225M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$441.00,Eaches,225M-12FSM-OFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
240M-12FSM-OFF-B,OS2 12F MPO F-F Type B 240M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$470.40,Eaches,240M-12FSM-OFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
2M-12FM4-OFF-B,OM4 12F MPO F-F Type B 2M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$54.00,Eaches,2M-12FM4-OFF-B,Proficium,,14,,,,500,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
20M-12FM3-PFF-APC-B-K8,OM3 12F MTP F-F APC Type B 20M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$493.85,Eaches,20M-12FM3-PFF-APC-B-K8,Proficium,,14,,,,6,6,37 Inches,19 Inches,18 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
20M-12FM4-PFF-APC-B-K8,OM4 12F MTP F-F APC Type B 20M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$493.85,Eaches,OM4 12F MTP F-F APC Type B 20M,Proficium,,14,,,,6,6,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
20M-12FSM-OFF-B,OS2 12F MPO F-F Type B 20M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$98.77,Eaches,20M-12FSM-OFF-B,Proficium,,14,,,,80,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
20M-12FSM-PFF-B,OS2 12F MTP F-F Type B 20M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$98.77,Eaches,20M-12FSM-PFF-B,Proficium,,14,,,,80,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
20M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 20M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$493.85,Eaches,20M-12FSM-PFF-B-K8,Proficium,,14,,,,6,6,37 Inches,19 Inches,18 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
20M-2FSM-LCLC,OS2 Duplex LC-LC 20M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$11.50,Eaches,20M-2FSM-LCLC,Proficium,,7,,,,100,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
21M-2FSM-LCLC,OS2 Duplex LC-LC 21M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$12.12,Eaches,21M-2FSM-LCLC,Proficium,,7,,,,100,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
24M-12FM3-PFF-APC-B-K8,OM3 12F MTP F-F APC Type B 24M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$501.41,Eaches,24M-12FM3-PFF-APC-B-K8,Proficium,,14,,,,6,6,37 Inches,19 Inches,18 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
25M-12FM3-PFF-APC-B-K8,OM3 12F MTP F-F APC Type B 25M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$522.31,Eaches,25M-12FM3-PFF-APC-B-K8,Proficium,,14,,,,6,6,37 Inches,19 Inches,18 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
25M-12FM4-OFF-B,OM4 12F MPO F-F Type B 25M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$187.06,Eaches,25M-12FM4-OFF-B,Proficium,,14,,,,80,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
25M-12FM4-PFF-APC-B-K8,OM4 12F MTP F-F APC Type B 25M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$522.31,Eaches,OM4 12F MTP F-F APC Type B 25M,Proficium,,14,,,,6,6,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
25M-12FSM-OFF-B,OS2 12F MPO F-F Type B 25M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$105.97,Eaches,25M-12FSM-OFF-B,Proficium,,14,,,,80,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
25M-12FSM-PFF-B,OS2 12F MTP F-F Type B 25M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$105.97,Eaches,25M-12FSM-PFF-B,Proficium,,14,,,,80,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
25M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 25M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$522.31,Eaches,25M-12FSM-PFF-B-K8,Proficium,,14,,,,6,6,37 Inches,19 Inches,18 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
250M-12FSM-PFF-B,OS2 12F MTP F-F Type B 250M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$558.05,Eaches,250M-12FSM-PFF-B,Proficium,,14,,,,80,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
25M-2FSM-LCLC,OS2 Duplex LC-LC 25M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$12.25,Eaches,25M-2FSM-LCLC,Proficium,,7,,,,80,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
200FT-2FSM-LCLC,OS2 Duplex LC-LC 200FT,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$43.80,Eaches,200FT-2FSM-LCLC,Proficium,,14,,,,2,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
230FT-2FSM-LCLC,OS2 Duplex LC-LC 230FT,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$50.37,Eaches,230FT-2FSM-LCLC,Proficium,,14,,,,2,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
240FT-2FSM-LCLC,OS2 Duplex LC-LC 240FT,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$52.56,Eaches,240FT-2FSM-LCLC,Proficium,,14,,,,2,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
250FT-2FSM-LCLC,OS2 Duplex LC-LC 250FT,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$54.93,Eaches,250FT-2FSM-LCLC,Proficium,,14,,,,2,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
270FT-2FSM-LCLC,OS2 Duplex LC-LC 270FT,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$59.32,Eaches,270FT-2FSM-LCLC,Proficium,,14,,,,2,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
280FT-2FSM-LCLC,OS2 Duplex LC-LC 280FT,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$61.60,Eaches,280FT-2FSM-LCLC,Proficium,,14,,,,2,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
26M-2FSM-LCLC,OS2 Duplex LC-LC 26M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$16.85,Eaches,26M-2FSM-LCLC,Proficium,,7,,,,80,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
27M-2FSM-LCLC,OS2 Duplex LC-LC 27M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$15.81,Eaches,27M-2FSM-LCLC,Proficium,,7,,,,70,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
28M-2FSM-LCLC,OS2 Duplex LC-LC 28M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$16.42,Eaches,28M-2FSM-LCLC,Proficium,,7,,,,70,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
2M-12FM4-OFF-B,OM4 12F MPO F-F Type B 2M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$54.00,Eaches,2M-12FM4-OFF-B,Proficium,,14,,,,500,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
2M-12FSM-OFF-B,OS2 12F MPO F-F Type B 2M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$72.88,Eaches,2M-12FSM-OFF-B,Proficium,,14,,,,500,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
